id,sunday_weeknum,sunday_name,sunday_first_reading,sunday_first_audio,sunday_second_reading,sunday_second_audio,sunday_alleluia_verse,sunday_alleluia_audio,sunday_responsorial_psalm,sunday_responsorial_audio,sunday_gospel,sunday_gospel_audio,sunday_before_gospel,sunday_before_gospel_audio,sunday_cycle_type,sunday_reading_type,sunday_description
1,1,The Feast of the Baptism of the Lord - A ,Isa 42:1-4,,Acts 10:34-38,,cf. Mark 9:7,,Ps 29:1-2,,Matt 3:13-17,,,,A,ordinary,[begin 1st Week in Ordinary Time]
2,2,2nd Sunday in Ordinary Time - A,Isa 49:3,,1 Cor 1:1-3,,John 1:14a+12a,,Ps 40:2+4,,John 1:29-34,,,,A,ordinary,
3,3,3rd Sunday in Ordinary Time - A,Isa 8:23b-9:3,,1 Cor 1:10-13,,cf. Matt 4:23,,Ps 27:1,,Matt 4:12-23,,,,A,ordinary,
4,4,4th Sunday in Ordinary Time - A,Zeph 2:3,,1 Cor 1:26-31,,Matt 5:12a,,Ps 146:6c-7,,Matt 5:1-12a,,,,A,ordinary,[Presentation in 2014]
5,5,5th Sunday in Ordinary Time - A,Isa 58:7-10,,1 Cor 2:1-5,,John 8:12,,Ps 112:4-5,,Matt 5:13-16,,,,A,ordinary,
6,6,6th Sunday in Ordinary Time - A,Sir 15:16-21,,1 Cor 2:6-10,,cf. Matt 11:25,,Ps 119:1-2,,Matt 5:17-37,,,,A,ordinary,
7,7,7th Sunday in Ordinary Time - A,Lev 19:1-2,,1 Cor 3:16-23,,1 John 2:5,,Ps 103:1-2,,Matt 5:38-48,,,,A,ordinary,
8,8,8th Sunday in Ordinary Time - A,Isa 49:14-15,,1 Cor 4:1-5,,Hebr 4:12,,Ps 62:2-3,,Matt 6:24-34,,,,A,ordinary,
9,9,9th Sunday in Ordinary Time - A,Deut 11:18,,Rom 3:21-25,,John 15:5,,Ps 31:2-3a,,Matt 7:21-27,,,,A,ordinary,[omitted in 2014]
10,10,10th Sunday in Ordinary Time - A,Hos 6:3-6,,Rom 4:18-25,,cf. Luke 4:18,,Ps 50:1+8,,Matt 9:9-13,,,,A,ordinary,[Pentecost in 2014]
11,11,11th Sunday in Ordinary Time - A,Exod 19:2-6a,,Rom 5:6-11,,Mark 1:15,,Ps 100:1-2,,Matt 9:36-10:8,,,,A,ordinary,[Holy Trinity in 2014]
12,12,12th Sunday in Ordinary Time - A,Jer 20:10-13,,Rom 5:12-15,,John 15:26b-27a,,Ps 69:8-10,,Matt 10:26-33,,,,A,ordinary,[Corpus Christi in 2014]
13,13,13th Sunday in Ordinary Time - A,2 Kgs 4:8-11,,Rom 6:3-4,,1 Peter 2:9,,Ps 89:2-3,,Matt 10:37-42,,,,A,ordinary,[Peter & Paul in 2014]
14,14,14th Sunday in Ordinary Time - A,Zech 9:9-10,,Rom 8:9,,cf. Matt 11:25,,Ps 145:1-2,,Matt 11:25-30,,,,A,ordinary,
15,15,15th Sunday in Ordinary Time - A,Isa 55:10-11,,Rom 8:18-23,,no bible reference,,Ps 65:10,,Matt 13:1-23,,,,A,ordinary,
16,16,16th Sunday in Ordinary Time - A,Wis 12:13,,Rom 8:26-27,,cf. Matt 11:25,,Ps 86:5-6,,Matt 13:24-43,,,,A,ordinary,
17,17,17th Sunday in Ordinary Time - A,1 Kgs 3:5,,Rom 8:28-30,,cf. Matt 11:25,,Ps 119:57+72,,Matt 13:44-52,,,,A,ordinary,
18,18,18th Sunday in Ordinary Time - A,Isa 55:1-3,,Rom 8:35,,Matt 4:4b,,Ps 145:8-9,,Matt 14:13-21,,,,A,ordinary,
19,19,19th Sunday in Ordinary Time - A,1 Kgs 19:9a,,Rom 9:1-5,,cf. Psalm 130:5,,Ps 85:9ab+10,,Matt 14:22-33,,,,A,ordinary,
20,20,20th Sunday in Ordinary Time - A,Isa 56:1,,Rom 11:13-15,,cf. Matt 4:23,,Ps 67:2-3,,Matt 15:21-28,,,,A,ordinary,
21,21,21st Sunday in Ordinary Time - A,Isa 22:19-23,,Rom 11:33-36,,Matt 16:18,,Ps 138:1-2a,,Matt 16:13-20,,,,A,ordinary,
22,22,22nd Sunday in Ordinary Time - A,Jer 20:7-9,,Rom 12:1-2,,cf. Eph 1:17-18,,Ps 63:2,,Matt 16:21-27,,,,A,ordinary,
23,23,23rd Sunday in Ordinary Time - A,Ezek 33:7-9,,Rom 13:8-10,,2 Cor 5:19,,Ps 95:1-2,,Matt 18:15-20,,,,A,ordinary,
24,24,24th Sunday in Ordinary Time - A,Sir 27:30-28:7,,Rom 14:7-9,,John 13:34,,Ps 103:1-2,,Matt 18:21-35,,,,A,ordinary,[Holy Cross in 2014]
25,25,25th Sunday in Ordinary Time - A,Isa 55:6-9,,Phil 1:20c-24,,cf. Act 16:14b,,Ps 145:2-3,,Matt 20:1-16a,,,,A,ordinary,
26,26,26th Sunday in Ordinary Time - A,Ezek 18:25-28,,Phil 2:1-11,,John 10:27,,Ps 25:4-5,,Matt 21:28-32,,,,A,ordinary,
27,27,27th Sunday in Ordinary Time - A,Isa 5:1-7,,Phil 4:6-9,,cf. John 15:16,,Ps 80:9+12,,Matt 21:33-43,,,,A,ordinary,
28,28,28th Sunday in Ordinary Time - A,Isa 25:6-10a,,Phil 4:12-14,,cf. Eph 1:17-18,,Ps 23:1-3a,,Matt 22:1-14,,,,A,ordinary,
29,29,29th Sunday in Ordinary Time - A,Isa 45:1,,1 Thess 1:1-5b,,Phil 2:15d-16a,,Ps 96:1+3,,Matt 22:15-21,,,,A,ordinary,
30,30,30th Sunday in Ordinary Time - A,Exod 22:20-26,,1 Thess 1:5c-10,,John 14:23,,Ps 18:2-3a,,Matt 22:34-40,,,,A,ordinary,
31,31,31st Sunday in Ordinary Time - A,Mal 1:14b-2:2b,,1 Thess 2:7b-9,,Matt 23:9b+10b,,Ps 131:1,,Matt 23:1-12,,,,A,ordinary,[All Souls in 2014]
32,32,32nd Sunday in Ordinary Time - A,Wis 6:12-16,,1 Thess 4:13-18,,Matt 24:42a+44,,Ps 63:2,,Matt 25:1-13,,,,A,ordinary,[Ded. Lateran in 2014]
33,33,33rd Sunday in Ordinary Time - A,Prov 31:10-13,,1 Thess 5:1-6,,John 15:4a+5b,,Ps 128:1-2,,Matt 25:14-30 ,,,,A,ordinary,
34,34,34th or Last Sunday in Ordinary Time - A,Ezek 34:11-12,,1 Cor 15:20-26,,Mark 11:9b+10a,,Ps 23:1-2a,,Matt 25:31-46,,,,A,ordinary,:The Solemnity of Our Lord Jesus Christ the King
35,1,The Feast of the Baptism of the Lord - B,Isa 55:1-11,,1 John 5:1-9 ,,cf. John 1:29,,Isa 12:2-3,,Mark 1:7-11,,,,B,ordinary,[begin 1st Week in Ordinary Time]
36,2,2nd Sunday in Ordinary Time - B,1 Sam 3:3b-10,,"1 Cor 6:13c-15a, 17-20",,John 1:41+17b,,Ps 40:2+4,,John 1:35-42,,,,B,ordinary,
37,3,3rd Sunday in Ordinary Time - B,Jon 3:1-5,,1 Cor 7:29-31,,Mark 1:15,,Ps 25:4-5,,Mark 1:14-20,,,,B,ordinary,
38,4,4th Sunday in Ordinary Time - B,Deut 18:15-20,,1 Cor 7:32-35,,Matt 4:16,,Ps 95:1-2,,Mark 1:21-28,,,,B,ordinary,
39,5,5th Sunday in Ordinary Time - B,Job 7:1-4,,"1 Cor 9:16-19, 22-23",,Matt 8:17,,Ps 147:1-2,,Mark 1:29-39,,,,B,ordinary,
40,6,6th Sunday in Ordinary Time - B,Lev 13:1-2,,1 Cor 10:31-11:1,,Luke 7:16,,Ps 32:1-2,,Mark 1:40-45,,,,B,ordinary,
41,7,7th Sunday in Ordinary Time - B,Isa 43:18-19,,2 Cor 1:18-22,,cf. Luke 4:18,,Ps 41:2-3,,Mark 2:1-12,,,,B,ordinary, [2015:omitted]
42,8,8th Sunday in Ordinary Time - B,Hos 2:16b,,2 Cor 3:1b-6,,James 1:18,,Ps 103:1-2,,Mark 2:18-22,,,,B,ordinary, [2015:Pentecost Sunday]
43,9,9th Sunday in Ordinary Time - B,Deut 5:12-15,,2 Cor 4:6-11,,cf. John 17:17b+a,,Ps 81:3-4,,Mark 2:23-3:6,,,,B,ordinary,[2015:Most Holy Trinity]
44,10,10th Sunday in Ordinary Time - B,Gen 3:9-15,,2 Cor 4:13-5:1,,John 12:31b-32,,Ps 130:1-2,,Mark 3:20-35,,,,B,ordinary,[2015:Corpus Christi]
45,11,11th Sunday in Ordinary Time - B,Ezek 17:22-24,,2 Cor 5:6-10,,no bible reference,,Ps 92:2-3,,Mark 4:26-34,,,,B,ordinary,
46,12,12th Sunday in Ordinary Time - B,Job 38:1,,2 Cor 5:14-17,,Luke 7:16,,Ps 107:23-24,,Mark 4:35-41,,,,B,ordinary,
47,13,13th Sunday in Ordinary Time - B,Wis 1:13-15,,"2 Cor 8:7, 9, 13-15",,cf. 2 Tim 1:10,,Ps 30:2+4,,Mark 5:21-43 ,,,,B,ordinary,
48,14,14th Sunday in Ordinary Time - B,Ezek 2:2-5,,2 Cor 12:7-10,,cf. Luke 4:18,,Ps 123:1-2a,,Mark 6:1-6 ,,,,B,ordinary,
49,15,15th Sunday in Ordinary Time - B,Amos 7:12-15,,Eph 1:3-14,,cf. Eph 1:17-18,,Ps 85:9ab+10,,Mark 6:7-13,,,,B,ordinary,
50,16,16th Sunday in Ordinary Time - B,Jer 23:1-6,,Eph 2:13-18,,John 10:27,,Ps 23:1-3a,,Mark 6:30-34,,,,B,ordinary,
51,17,17th Sunday in Ordinary Time - B,2 Kgs 4:42-44,,Eph 4:1-6,,Luke 7:16,,Ps 145:10-11,,John 6:1-15,,,,B,ordinary,
52,18,18th Sunday in Ordinary Time - B,Exod 16:2-4,,"Eph 4:17, 20-24",,Matt 4:4b,,Ps 78:3-4,,John 6:24-35,,,,B,ordinary,
53,19,19th Sunday in Ordinary Time - B,1 Kgs 19:4-8,,Eph 4:30-5:2,,John 6:51,,Ps 34:2-3,,John 6:41-51,,,,B,ordinary,
54,20,20th Sunday in Ordinary Time - B,Prov 9:1-6,,Eph 5:15-20,,John 6:56,,Ps 34:2-3,,John 6:51-58,,,,B,ordinary,
55,21,21st Sunday in Ordinary Time - B,Josh 24:1-2a,,Eph 5:21-32,,cf. John 6:63c+68c,,Ps 34:2-3,,John 6:60-69,,,,B,ordinary,
56,22,22nd Sunday in Ordinary Time - B,Deut 4:1-2,,Jas 1:17-18,,James 1:18,,Ps 15:2-3a,,Mark 7:1-8,,,,B,ordinary,
57,23,23rd Sunday in Ordinary Time - B,Isa 35:4-7a,,Jas 2:1-5,,cf. Matt 4:23,,Ps 146:6c-7,,Mark 7:31-37,,,,B,ordinary,
58,24,24th Sunday in Ordinary Time - B,Isa 50:4-9a,,Jas 2:14-18,,Gal 6:14,,Ps 116:1-2,,Mark 8:27-35,,,,B,ordinary,
59,25,25th Sunday in Ordinary Time - B,Wis 2:12,,Jas 3:16-4:3,,cf. 2 Thess 2:14,,Ps 54:3-4,,Mark 9:30-37,,,,B,ordinary,
60,26,26th Sunday in Ordinary Time - B,Num 11:25-29,,Jas 5:1-6,,cf. John 17:17b+a,,"Ps 19:8, 10",,Mark 9:38-43,,,,B,ordinary,
61,27,27th Sunday in Ordinary Time - B,Gen 2:18-24,,Heb 2:9-11,,1 John 4:12,,Ps 128:1-2,,Mark 10:2-16,,,,B,ordinary,
62,28,28th Sunday in Ordinary Time - B,Wis 7:7-11,,Heb 4:12-13,,Matt 5:3,,Ps 90:12-13,,Mark 10:17-30,,,,B,ordinary,
63,29,29th Sunday in Ordinary Time - B,Isa 53:10-11,,Heb 4:14-16,,Mark 10:45,,Ps 33:4-5,,Mark 10:35-45,,,,B,ordinary,
64,30,30th Sunday in Ordinary Time - B,Jer 31:7-9,,Heb 5:1-6,,cf. 2 Tim 1:10,,Ps 126:1-2a,,Mark 10:46-52,,,,B,ordinary,
65,31,31st Sunday in Ordinary Time - B,Deut 6:2-6,,Heb 7:23-28,,John 14:23,,Ps 18:2-3a,,Mark 12:28b-34,,,,B,ordinary,[2015:All Saints]
66,32,32nd Sunday in Ordinary Time - B,1 Kgs 17:10-16,,Heb 9:24-28,,Matt 5:3,,Ps 146:6c-7,,Mark 12:38-44,,,,B,ordinary,
67,33,33rd Sunday in Ordinary Time - B,Dan 12:1-3,,Heb 10:11-14,,Luke 21:36,,Ps 16:5+8,,Mark 13:24-32,,,,B,ordinary,
68,34,34th or Last Sunday in Ordinary Time - B,Dan 7:13-14,,Rev 1:5-8,,Mark 11:9b+10a,,Ps 93:1a,,John 18:33b-37,,,,B,ordinary,: The Solemnity of Our Lord Jesus Christ the King
69,1,The Feast of the Baptism of the Lord - C ,Isa 40:1-5,,Titus 2:11-14,,Titus 2:11-14,,Ps 104:1b-2,,Luke 3:15-16,,,,C,ordinary,[begin 1st Week in Ordinary Time]
70,2,2nd Sunday in Ordinary Time - C,Isa 62:1-5,,1 Cor 12:4-11,,1 Cor 12:4-11,,Ps 96:1-2a,,John 2:1-11,,,,C,ordinary,
71,3,3r Sunday in Ordinary Time - C,Neh 8:2-4a,,1 Cor 12:12-30,,1 Cor 12:12-30,,Ps 19:8,,Luke 1:1-4,,,,C,ordinary,
72,4,4th Sunday in Ordinary Time - C,Jer 1:4-5,,1 Cor 12:31-13:13,,1 Cor 12:31-13:13,,Ps 71:1-2,,Luke 4:21-30,,,,C,ordinary,
73,5,5th Sunday in Ordinary Time - C,Isa 6:1-2a,,1 Cor 15:1-11,,1 Cor 15:1-11,,Ps 138:1-2a,,Luke 5:1-11,,,,C,ordinary,
74,6,6th Sunday in Ordinary Time - C,Jer 17:5-8,,1 Cor 15:12,,1 Cor 15:12,,Ps 1:1-2,,Luke 6:17,,,,C,ordinary, [2013: omitted]
75,7,7th Sunday in Ordinary Time - C ,1 Sam 26:2,,1 Cor 15:45-49,,1 Cor 15:45-49,,Ps 103:1-2,,Luke 6:27-38,,,,C,ordinary,[2013:Pentecost Sunday]
76,8,8th Sunday in Ordinary Time - C,Sir 27:5-8 ,,1 Cor 15:54-58,,1 Cor 15:54-58,,Ps 92:2-3,,Luke 6:39-45,,,,C,ordinary, [2013:Most Holy Trinity]
77,9,9th Sunday in Ordinary Time - C ,1 Kgs 8:41-43,,Gal 1:1-2,,Gal 1:1-2,,Ps 117:1-2,,Luke 7:1-10,,,,C,ordinary,[2013:Corpus Christi]
78,10,10th Sunday in Ordinary Time - C,1 Kgs 17:17-24,,Gal 1:11-19,,Gal 1:11-19,,Ps 30:2+4,,Luke 7:11-17,,,,C,ordinary,
79,11,11th Sunday in Ordinary Time - C,"2 Sam 12:7-10, 13",,Gal 2:16,,Gal 2:16,,Ps 32:1-2,,Luke 7:36-8:3,,,,C,ordinary,
80,12,12th Sunday in Ordinary Time - C,Zech 12:10-11,,Gal 3:26-29,,Gal 3:26-29,,"Ps 63:2, 3-4",,Luke 9:18-24,,,,C,ordinary,
81,13,13th Sunday in Ordinary Time - C,1 Kgs 19:16b,,Gal 5:1,,Gal 5:1,,Ps 16:1-2a+5,,Luke 9:51-62,,,,C,ordinary,
82,14,14th Sunday in Ordinary Time - C,Isa 66:10-14c,,Gal 6:14-18,,Gal 6:14-18,,Ps 66:1-3,,Luke 10:1-12,,,,C,ordinary,
83,15,15th Sunday in Ordinary Time - C,Deut 30:10-14,,Col 1:15-20,,Col 1:15-20,,Ps 69:14+17,,Luke 10:25-37,,,,C,ordinary,
